,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed,average_cadence,average_heartrate,weighted_average_watt,max_watts,commute,trainer,gear_id,sport_type
0,8057323541,Wahoo SYSTM: Tasmania: Kunanyi/Mt Wellington,2022-11-02T08:28:51Z,Ride,36439.9,4219,4219,0,8.637,10.284,87.7,135.1,0,314,False,True,b4532046,Ride
1,8051796043,Wahoo SYSTM: Portugal: Nazaré to Foz do Arelho,2022-11-01T07:15:38Z,Ride,20821.5,3455,3455,0,6.026,14.534,80.7,123.3,0,268,False,True,b4532046,Ride
2,8042950218,IPA de Domingo ,2022-10-30T07:45:00Z,Ride,60987.0,7075,11425,270.0,8.62,14.672,73.7,124.6,0,808,False,False,b8223536,Ride
3,8036783838,Giro de Sábado,2022-10-29T05:58:57Z,Ride,110069.0,13712,14439,1164.0,8.027,18.302,75.2,121.7,0,703,False,False,b8223536,Ride
4,8036833407,Afternoon Ride,2022-10-28T16:21:18Z,EBikeRide,16813.8,3084,15745,215.0,5.452,23.0,64.3,0.0,0,0,True,False,b9738894,EBikeRide
5,8031859606,Giro de Sexta,2022-10-28T06:31:21Z,Ride,80801.1,11508,12678,1177.0,7.021,16.62,71.6,120.7,0,584,False,False,b6549732,GravelRide
6,8024633247,Evening Ride,2022-10-26T19:13:03Z,EBikeRide,12456.7,1934,1988,121.0,6.441,10.68,68.2,0.0,0,0,True,False,b9738894,EBikeRide
7,8023029746,Afternoon Ride,2022-10-26T13:00:26Z,EBikeRide,12161.8,2000,2093,101.0,6.081,13.7,61.4,0.0,0,0,True,False,b9738894,EBikeRide
8,8021601371,Contorno,2022-10-26T06:22:49Z,Ride,68036.1,7627,7807,613.4,8.92,16.84,80.0,126.7,0,720,False,False,b8223536,Ride
9,8019145677,Afternoon Ride,2022-10-25T17:28:54Z,EBikeRide,13100.2,2125,2267,141.0,6.165,12.36,66.5,0.0,0,0,True,False,b9738894,EBikeRide
10,8018318015,Afternoon Ride,2022-10-25T14:33:39Z,EBikeRide,11323.1,1558,1593,84.0,7.268,12.78,67.7,0.0,0,0,True,False,b9738894,EBikeRide
11,8016837584,MTB de Terça ,2022-10-25T06:20:30Z,Ride,70148.9,12515,14423,1300.4,5.605,17.126,68.0,121.1,0,0,False,False,b5415304,MountainBikeRide
12,8007519154,IPA de Domingo ,2022-10-23T07:42:00Z,Ride,68083.0,7852,11683,325.0,8.671,16.358,76.0,116.5,0,669,False,False,b8223536,Ride
13,8001630191,Balsa Nova,2022-10-22T06:25:14Z,Ride,105510.0,12128,13058,1252.0,8.7,18.094,79.1,134.0,0,868,False,False,b8223536,Ride
14,7981165073,Ludwigsburg,2022-10-17T16:18:23Z,Ride,66251.7,10296,11289,747.0,6.435,16.782,67.0,115.0,0,561,False,False,b11621459,Ride
15,7972768436,Black Forest,2022-10-16T11:19:18Z,Ride,105423.0,16573,17513,1597.0,6.361,19.09,70.4,126.4,0,967,False,False,b11621459,Ride
16,7967094142,German Escape,2022-10-15T13:12:18Z,Ride,70128.6,11389,12399,916.6,6.158,17.534,69.1,115.3,0,600,False,False,b11621459,Ride
17,7960976154,Canyon Ultimate Shakedown ,2022-10-14T10:02:08Z,Ride,58815.3,9016,10045,834.0,6.523,17.222,70.6,118.0,0,668,False,False,b11621459,Ride
18,7945614186,Wahoo SYSTM: Thursday Fields,2022-10-11T07:42:20Z,Ride,8555.3,1232,1232,0,6.944,8.008,81.8,112.1,0,148,False,True,b4532046,Ride
19,7945512297,Wahoo SYSTM: Who Dares,2022-10-11T06:48:07Z,Ride,27304.4,3177,3177,0,8.594,12.91,78.4,132.6,0,607,False,True,b4532046,Ride
20,7940543170,Wahoo SYSTM: Veni Bichi Sushi: Episode 3,2022-10-10T07:33:21Z,Ride,12698.0,1501,1501,0,8.46,13.59,88.5,108.0,0,155,False,True,b4532046,Ride
21,7940449744,Wahoo SYSTM: Veni Bici Sushi: Episode 2,2022-10-10T07:02:39Z,Ride,12758.0,1810,1810,0,7.049,12.888,88.1,104.9,0,147,False,True,b4532046,Ride
22,7930418305,Giro de sábado ,2022-10-08T06:27:01Z,Ride,106389.0,12588,12930,1024.0,8.452,19.252,76.6,132.4,0,767,False,False,b8223536,Ride
23,7919664856,Wahoo SYSTM: Veni Bici Sushi: Episode 1,2022-10-06T07:17:56Z,Ride,11026.0,1531,1531,0,7.202,7.976,82.9,86.5,0,149,False,True,b4532046,Ride
24,7917242532,Afternoon Ride,2022-10-05T14:49:45Z,EBikeRide,28307.7,4633,6772,270.0,6.11,13.68,66.2,0.0,0,0,True,False,b9738894,EBikeRide
25,7914750375,Contorno,2022-10-05T06:06:23Z,Ride,73031.4,8678,8839,662.1,8.416,20.06,78.9,124.6,0,737,False,False,b8223536,Ride
26,7913014018,Evening Ride,2022-10-04T20:50:59Z,EBikeRide,10267.1,1486,1486,135.0,6.909,12.26,69.3,115.9,0,0,True,False,b9738894,EBikeRide
27,7910973314,Morning Ride,2022-10-04T07:23:40Z,EBikeRide,11758.2,1735,1790,80.6,6.777,13.16,66.8,0.0,0,0,True,False,b9738894,EBikeRide
28,7910011179,MTB de terça ,2022-10-04T06:29:38Z,Ride,74017.9,12483,15436,1220.0,5.929,16.69,68.0,115.6,0,0,False,False,b5415304,MountainBikeRide
29,7900249114,Serra dos Veados+Mineiros,2022-10-02T06:29:56Z,Ride,110092.0,14653,16668,1321.0,7.513,16.7,72.1,120.4,0,714,False,False,b6549732,GravelRide
30,7895446335,Lunch Ride,2022-10-01T12:58:26Z,EBikeRide,7684.4,1329,1365,133.0,5.782,11.2,63.2,0.0,0,0,True,False,b9738894,EBikeRide
31,7894890888,Lunch Ride,2022-10-01T11:27:31Z,EBikeRide,7186.4,1084,1132,76.0,6.63,13.76,65.1,0.0,0,0,True,False,b9738894,EBikeRide
32,7894419450,Bacaetava,2022-10-01T07:12:38Z,Ride,69168.2,11103,11552,1144.3,6.23,15.962,73.7,118.9,0,0,False,False,b5415304,MountainBikeRide
33,7891286038,Afternoon Ride,2022-09-30T17:13:53Z,EBikeRide,12509.9,1796,2425,124.0,6.965,12.38,71.2,0.0,0,0,True,False,b9738894,EBikeRide
34,7891286507,Afternoon Ride,2022-09-30T14:20:15Z,EBikeRide,11838.2,1707,1768,87.0,6.935,13.26,67.5,0.0,0,0,True,False,b9738894,EBikeRide
35,7884234316,Wahoo SYSTM: Sub-Threshold Alternating Cadence: 8 x 3,2022-09-29T07:19:02Z,Ride,27404.3,3300,3300,0,8.304,10.472,79.9,127.0,0,340,False,True,b4532046,Ride
36,7874809717,Dom Pedro,2022-09-27T07:25:45Z,Ride,84298.6,11201,11828,1226.0,7.526,15.92,73.7,133.7,0,725,False,False,b6549732,GravelRide
37,7869255757,Wahoo SYSTM: Crescendo,2022-09-26T07:11:11Z,Ride,30273.5,3487,3487,0,8.682,10.426,87.0,128.2,0,256,False,True,b4532046,Ride
38,7864520393,Wahoo SYSTM: ProRides: Ride London 1,2022-09-25T07:46:32Z,Ride,36051.0,4459,4459,0,8.085,12.292,90.0,123.8,0,637,False,True,b4532046,Ride
39,7860682727,Afternoon Ride,2022-09-24T13:55:28Z,EBikeRide,8080.8,1349,1441,139.0,5.99,12.16,68.2,0.0,0,0,True,False,b9738894,EBikeRide
40,7860056885,Lunch Ride,2022-09-24T12:03:45Z,EBikeRide,7385.2,1246,1651,54.0,5.927,9.34,60.8,0.0,0,0,True,False,b9738894,EBikeRide
41,7860057961,Morning Ride,2022-09-24T07:23:40Z,EBikeRide,11722.5,1725,1790,81.0,6.796,13.16,66.8,0.0,0,0,True,False,b9738894,EBikeRide
42,7854220367,Le Printemps,2022-09-23T06:51:55Z,Ride,80002.5,12367,12959,1326.0,6.469,19.3,67.5,121.5,0,770,False,False,b6549732,GravelRide
43,7851204555,Afternoon Ride,2022-09-22T15:00:27Z,EBikeRide,17437.5,3108,7380,188.0,5.611,14.22,59.9,0.0,0,0,True,False,b9738894,EBikeRide
44,7848733107,Wahoo RGT - Dirty Reiver,2022-09-22T07:39:26Z,VirtualRide,23950.0,4229,4229,319.0,5.663,17.8,83.1,117.7,0,313,False,False,b4532046,VirtualRide
45,7844503742,Morning Ride,2022-09-21T07:53:39Z,EBikeRide,15098.7,2482,11486,216.0,6.083,13.28,65.9,0.0,0,0,True,False,b9738894,EBikeRide
46,7840702548,Afternoon Ride,2022-09-20T17:35:57Z,EBikeRide,13178.0,2179,2335,133.0,6.048,11.24,63.5,0.0,0,0,True,False,b9738894,EBikeRide
47,7839865788,Lunch Ride,2022-09-20T12:16:38Z,EBikeRide,11827.3,1829,1906,91.0,6.467,13.48,66.9,0.0,0,0,True,False,b9738894,EBikeRide
